comment,movie_link,movie_title,num,score
"배우들 연기는 최고, 특히 박정민은 등장부터 와우..다만 스토리 개연성이며 마무리가 아쉽..",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037831,6
진짜 후회없이 봅니다 대박,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037830,10
황정민 연기는 정말 대단 그자체,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037828,9
ㅋㅋㅋ OO노잼 언제까지 반일 종북 컨셉 쓸래? 지겹다 지겨워 ㅋㅋㅋ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037829,1
최근 나온 영화중  제일 볼만 하네요신세계를  기대하고 가지말고  황정민  이정재배우들의  시원시원한 액션보고 나온다 생각하심 될거같아요,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037827,10
"올해 최고의 영화가 될듯~~역시 믿고보는 황정민, 이정재 연기에 시간가는줄 몰랐네. 최고.~!",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037826,10
제인? 재인? 의도적? ㅎㅎㅎㅆ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,반도,17037825,2
마지막 의외의 반전에 정신이 번쩍.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=36763&target=after,데이비드 게일,17037824,9
평범한 액션 영화들과는 차원이 다름 영상? 촬영기법 진짜 좋았음,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037823,10
타격감! 이정재황정민배우님들 슬로우 걸릴 때 등 영상이 액션을 더 멋지게 만드는 것 같아요! 지루하지 않고 정재배우님 나타날 때마다 가슴이 두근두근 졸여지고ㅠㅠㅠ 완전 시원한 액션영화였습니다! 박정민배우님 연기....미쳨ㅋㅋㅋㅋ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037842,8
"연기는 정말 훌륭한데,스토리가 빈약합니다.",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037841,6
연기 진짜 누가누가 더 잘하나 내기 같음재밌어 ㅠ ㅠ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037840,10
흥미진진 하네요.근데 우리나라 배우분들이 연기를 월등히 잘하나봐요. 외국인 배우분들 연기가 조금 어색하게 느껴지기도..;;ㅋㅋ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037839,9
현 한반도의 문제에 대해 다시금 생각해보게하는 화두를 던진 영화~,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037837,10
홍콩배우 장민 필모그래피 보는데  장민이 여기 전봇대 역으로 단역출연 했다고??? 진짜?,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=13116&target=after,참견은 노 사랑은 오예,17037838,10
영화 너무 재밌어요.. 진짜 인정~~,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037836,10
코로나 이후 평점에 속았던 클로젯 온워드 살아있다 소리꾼 밤쉘 등등 다만 악..으로 만회함,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037835,10
옛날 홍콩영화가 생각났던 영화에여! 배우들의 연기력 짱! 감독님의 촬영방법 짱!배우들의 연기력 짱! 감독님의 촬영방법 짱!,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037834,10
아니 다 알바인가어이가 없어 올리네 영화 보신분들이 점수매긴거 맞나 이게 9점대 영화라니 보는내내 지루해서 죽는줄 알았는데 연기만 좋고 이런 좋은 재료로 잡탕을 만든느낌 내용도 없고 그냥 예고편이 제일 재미 있어요,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037833,2
반려견의 주인 사랑이 주제인 영화라 좋을 수밖에 없다 ㅠㅠ 절대 지루하지 않고 감동적입니다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=168088&target=after,더 웨이 홈,17037852,10
''가장''이라고 이름 붙여진 분들은 이 영화를 보신다면 어떤 느낌이 들까요?가장들이 존경을 받고자 이렇게 힘들게 살아가진 않을 겁니다. 가족에 대한 사랑과 책임의 엄중함 때문이겠죠.영화 속 아이들은 아버지의 선택으로 고난을 겪으면서도 아버지의 헌신에 대한 존경과 사랑으로 일관합니다.내가 이루지 못한 가족의 모습을 영화 속에서 나마 볼 수 있어서 가슴 따뜻하게 눈물을 흘릴 수 있는 영화였습니다.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=37720&target=after,"바람의 검, 신선조",17037851,10
강철비 보다는 훨씬 재밌습니다. 종북 좌빨 컨셉 이제 지겨워요,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037850,10
이거보고 서든어택 탈출구역 하러감,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,#살아있다,17037849,1
친구랑 손 잡고 봄. 스릴 있음. 재밌데 봤는데 정우성이 우리 나라 대통령이라는게 말이안 되서 몰임이 안 됨. 그리고 대통령이 너무 순순히 인질로 끌려서 조금 개연성이 ... 중간에 북한 지도자랑 미국 대통령이 너무 쉽게 구조되서 그냥 뭔가 조금 아쉬웠지만 그래도 여운은 남았음.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037848,8
스토리는 너무 예상되는 내용이었으나두 정민의 연기력 정말 좋았습니다믿고보는 배우네요박정민씨의 뱃살이 자꾸 아른거려요 ㅎ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037847,10
,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=168088&target=after,더 웨이 홈,17037846,10
"다양한배경이랑 액션감 연출 스토리 전부 너무 재밌긴한데,이정재는 찍으면서 캐릭터에 대해 뭔생각하나 멋있다는 아니겠지.  아이 연기가 좋았다 박정민이랑",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037844,10
황정민 연기가 끝내주네요 간만에 괜찮은 영화를 봤어요,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037845,10
아 장민 너무 예뻐... 7점은 장민 몫이다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=11613&target=after,무장원 소걸아,17037843,8
사무라이 귀신의 연기가 너무나 뛰어나요.넘 웃겨,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=77835&target=after,멋진 악몽,17037862,10
맨온파이어+아저씨+레옹+테이큰,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037861,2
감동도 있고 차 액션도 꽤 재밌엇다 배우들 열연도 굳굳,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,반도,17037860,9
,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037859,10
재밌는데 마지막 신파가 너무 거슬렸음,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=181925&target=after,클로젯,17037858,6
아픈 애를 막대하는 장면이 불쾌하다.학대하는것같다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=11586&target=after,미스터 맘마,17037857,2
,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=87892&target=after,엔딩 노트,17037856,10
임팩트가 없다...,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,반도,17037855,2
"아니,,마블 히어로도 이정도면 죽겠다.불사신 두명",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037854,6
후아 강아지도 안키우고 집에서 멍하게 채널 돌리다가 끝까지 다봤네요.. 감동적이네요...강아지 연기 너므너므 잘하네요...간만에 정말 재미있게 봤어요,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=168088&target=after,더 웨이 홈,17037853,10
스토리 전개는 빠르지만 디테일이 1도 없는.. 유아인 수염과 염색머리는 그대로고 박신혜 앞머리는 빗질이 넘 곱게 되어 있음;; 심지어 좀비랑 싸운 후에도 내츄럴핏~~,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,#살아있다,17037872,6
이젠 평점도 믿을수가 있어야지. 나만 속을소냐도 많아서,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037871,6
스토리는 빈약하나 영상미는 좋고 연기도 좋음,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037870,6
,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037869,10
복잡한 한반도 정세를 어떻게 풀어내는지 궁금했는데 그럭저럭 볼만한.. 그나저나 이 영화 주인공은 부함장이죠?,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037868,10
ocn에서 예고편으로 신선한. 공포영화라고 평점지수 높다고. 선전하던데 보기는하고 이걸 일반사람들 보라고 하나싶다  엽기를 넘어선 충격!  멘탈. 탈곡기 수준이다!호기심에도 보지마!  그냥 보지마라면 보지마  이거 만든사람이 정상인지  의심된다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=182014&target=after,미드소마,17037867,1
재미있어요!배우들의 연기 호흡 너무 좋네요. 특히 박정민씨 연기가 !박정민씨 나오는 거 보러 또 가고 싶네요.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037866,10
뻔한 스토리 이제 지겹다...,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037865,1
신선하긴 한데 그 이상 그 이하도 아닌,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=186235&target=after,팡파레,17037864,10
동물영화는 이걸로 마지막으로 안볼꺼에요 눈물나서 힘드네요 모든동물들이 평안하길,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=168088&target=after,더 웨이 홈,17037863,10
연기 쩔어요 황정민짱...,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037882,10
토착빨갱이 라도출신 중졸 정우성이 뭘 안다고 정치발언이랍씨고 요즘 엄청 꼴깞 떠는대~문천지 더부러절라도인민강간당에 착 붙어서~여기에 4~5점 누른애들 장담하건대 백프로 토착빨갱이 라도쪽 댓글알바들~,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037881,2
한국판 테이큰 딱 그정도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037880,6
올 해 본 영화 중 가장 재밌었어요 진심...,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037879,8
,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=178526&target=after,봉오동 전투,17037878,10
징그러운장면 다수 스토리 빈약합 니다 연기는 일품,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037877,4
"총평: 캠핑용품 광고를 돈주고 보았다.(솔직히 맞죠?)유튜브 광고쯤에나 어울릴법한 연출과 구성. 좀비로 고립. 이웃과 연대한다는 스토리로 얼마든지 맛깔난 연출이 가능했을텐데....경찰관이 먹힐때 끌려가며 먹히는 단 한장면 빼고는 단 한번도 흥미를 느끼지 못했습니다.8층 아저씨 아내가 며칠 굶었다했는데 그럼 그전에 아내가 먹던 시체, 아니 좀비는 어디있나? 어른되면 잘숨는다는 대사는 또 웬 의미없고 장황한 대사인지...남주는 물끊기고 칼로리바로 연명하는데 통통한 볼에 너무 생기발랄하게 춤추고... 좀비들은 선택적 공격을 하니 긴장감이 떨어지고.. 창문에 신문지는 왜 붙이는지 모를 일..  소방관 좀비는 암벽등반 하다가 드론을 파리잡듯이.. ㅋㅋ 구조헬기는 아파트 아래에서 소리없이 올라오고ㅋㅋ아무리 영화라지만 상식수준의 개연성을 벗어난 장면들이 많아요. 부산행 보고 너무 한국좀비영화의 수준을 높게 잡아 기대한 모양입니다. 그리고 도입부는 어디선가 본것같은 느낌의 도입부더라고요. 아파트도 너무 세트티나고(조진웅이랑 이선균 나온 영화에 나왔던 세트랑 같은 세트인듯..)아무튼..시간버리고 돈버리고 기분도 나빠졌네요. 비추요",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,#살아있다,17037876,1
"박근혜때 국제시장 영화에 비판 날렸잖아요 이러지 맙시다, 우리~ 정치색  더심하네요게다가 영화 장르가 뭔지...코미디로 시작해서 판타지로 끝나네요영화 주제는  1. 주적은 일본 2. 통일의 길은 멀고도 험난하니  대통령 탓하지 말자 정도가 되겠네요문통 지지 떠나서 너무 오그라드는 영화.",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037875,2
주인공 발암 내용도 막장 군고구마 물없이 3개먹은듯,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194401&target=after,컨택트 2020,17037874,2
"젋은날의 데미무어는 아름다웠지만, 부부간의 신뢰가 깨진 이후에 왜 갑자기 마음이 급변했는지 설명도 없이 금 마무리되는 느낌이라 결말이 아쉬웠음",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=13053&target=after,은밀한 유혹,17037873,7
다크나이트같은 기계음 음악이 긴장감을 높인다. 이정재는 내가 죽이고 싶을만치 나쁜놈이다. 황정민 처절하다. 돕고싶었다. 박정민 다리는 진짜 잘빠졌네~,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037892,10
한혜진 연기 때문에 영화에 집중이 안되네요ㅠ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=52420&target=after,용서는 없다,17037891,6
액션신에 감동받았어요. 역시 믿보배들,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037890,10
흥미진진. 이렇게 된다면 얼마나....,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037889,10
연기 구멍 하나도 없이 정말 괜찮은 영화였다 특히 주동우와 이양천새 연기가 정말..말로 표현 할 수가 없다 섬세한 감정표현은 물론 눈물연기도 어찌나 잘하던지 나도 덩달아 울고싶어졌다 엔딩장면도 정말 마음에 들었고 그 장면이 마음에 콕 박혀서 생각날 때마다 울컥거린다 끝으로 첸니엔과 베이가 행복했으면 좋겠다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192066&target=after,소년시절의 너,17037888,9
황정민vs이정재 싸울시 황정민이 이기면 추천 이정재가 이기면 비추천,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037887,10
홍원찬 감독 글 쓰는 재주는 있는거 같은데 연출에서 부진하는 모습이 안타깝네요.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037886,6
"연기는 너무 좋은데, 스토리 자체는 그냥 그랬다..",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037885,5
너무 재ㅣㅆ어요 근데 4D는 등이 너무 아파요.... 얘네끼리 싸우는데 저만 쳐맞아요..,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=136872&target=after,미녀와 야수,17037884,10
스토리탄탄 연기력 최고,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037883,10
이거 방탄 툭툭이야 이xxx야 ㅎㅎㅎ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037902,4
내가 왠만해선 영화 다 재밌다고 생각하는데 이건 역대급 망작임 시간도 질질끌고 개노잼 연기도 어색해서 영화보다가 웃음이 나오더라,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,반도,17037901,1
,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=90589&target=after,엣지 오브 투모로우,17037900,9
왜 저사람은 저 행동을 하는지에 대한 동기가 부족하고 전체적으로 스토리의 디테일이 좀 부족하지만..재밌게 봤어요.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037899,10
정치선동 영화.. 평점이 왜 높은지 이해불가,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037898,1
웃긴게 넓은 땅덩어리에서 황정민이 gps까지달앗나....레이는 왜이렇게 잘쫒아와?? 약간 터미네이터같은 느낌이다..결말은 허무하다.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037897,8
그냥동원님 보러 가시면 좋습니다. 부산행과는 완전히 다른 영화에요.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,반도,17037896,6
"통쾌하고 짜릿한 액션과 확확 바뀌는 배경 덕분에 지루할 틈도 없었다. 숨도 쉬지 못하고 봤다. 황정민, 이정재 배우의 연기와 액션은 베스트 중에 베스트!! 두 배우의 조합은 언제나 찬성이고 환영한다. 인생 영화에 등극된 기념으로 다음주에 또 보러 간다. 아, 그리고 박정민 배우님 언급이 빠졌는데 박정민 배우님이 없으셨다면 액션만 가득한 영화이지 않았을까 싶다. 감초 같은 역할. 앞으로도 박정민 배우님의 행보가 많이 기대된다.",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037895,10
"이런 명품배우들을 데리고 이렇게 못살리다니...스토리 최악... 그렇다고  액션이 볼만한것도 아니고...이정재, 황정민 너무 좋아하는배우인데도 실망",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037894,4
진짜 몰입해서 본 영화가 얼마만인지 모르겠어요! 한 10분 본 줄 알았는데 벌써 영화가 끝났더라구요. 영화를 즐겨보지 않는 저도 진짜 몰입해서 봤어요 무엇보다 몰입력이 진짜 짱짱 꼭 보러가세요!+황정민씨 사랑해요,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037893,10
,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037782,10
"방송 출연 잘 안하는 배우들이 예능 나오는거 보면 얼마나 영화가 엉망인지를 알수 있다.살아있다 유아인, 강철비 정우성. 예외가 있다면 말아먹었지만 예능에도 안나오는 반도에 강동원이 있군.. 다만 악에서 구하소서도 안보았지만 황정민이 예능 나올때 부터 접고 들어가는 느낌. 배우들이 이렇게 라도 노력하니 봐주세요 라는 간절함 이랄까?? 그런 노력 말고 좋은 작품으로 보여주세요~ 보지말라고해도 줄서서 볼테니..",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037781,2
장르가 개그인가? 영화시작부터지루하고 말도안되는스토리영화. 종북좌파가 만들었나.  돈아깝다. 어떻게 북한영화를 한국에서만드냐,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037780,1
두번 보세여 세번 보세여 미쳤어요 진짜,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037779,10
"많은 기대하고 보시는것보단 배우들의 연기가 좋고,액션씬은 조금 볼만합니다",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037778,8
별 기대 안하고 봤는데  시간 순삭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037777,10
일본 특유의 오버스러운 액션 그리고 긴장감 없이 쉽게 쉽게 죽어나가는 학생들;;,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=31465&target=after,배틀로얄,17037776,4
,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037775,8
와 너무 재밌어요 최근에 볼만한 영화 드디어 나온 듯 해요,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037774,10
점수가 너무 낮아서 올립니다.내용 뻔함.근데 연출이나 스케일 괜찮음.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,반도,17037773,10
스토리 연기 cg 어느 하나 흠 잡을 것이 없는 십전의 영화,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=39576&target=after,쿵푸 허슬,17037792,10
굿굴굿굿꿀잼이였어요,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037791,10
방금 별내 메가박스에서 보고 왔습니다. 스토리가 없고 잔인함과 폭력성만 있네요. 허접한 아저씨+테이큰 따라만든 영화같네요. 진짜임.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037790,1
이런 쓰레기 역사인식 영화가 나올 수 있는 현실이 개탄스럽네요ㅎㅎㅎ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037789,1
진짜 재밌고 감동적이였습니당,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,반도,17037788,10
"재미도 없고 감동도 없고..김정은 미화하려고 만든 영화인지, 트럼프 욕하려고 만든 영화인지, 국뽕하려고 만든 영화인지;; 엔딩도 뻔해가지고 ㅋ",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037787,1
너무 마음 따뜻해지는 영화 몇번을 봐도 재밌네요,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=73301&target=after,마루 밑 아리에티,17037786,10
연기 연출 모든 부분에 짝짝짝~~!!!,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=124201&target=after,탐정 : 더 비기닝,17037785,10
,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037784,10
"오지라퍼의 인위적이고 뻔한 이야기. 치유되라고 억지부리는 사회적 파급력 있는 ""연예인""",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188469&target=after,뷰티풀 데이 인 더 네이버후드,17037783,1
