username,link,mention,tweet_date,tweet_time,retweets,favorites,mentions
Qqpop_9595,https://twitter.com/Qqpop_9595/status/1178457239327084545,감기몸살 왔어 실화냐..,2019-09-29,23:51:15,0,0,
elsia___,https://twitter.com/elsia___/status/1178457157085233153,뻐킹감기,2019-09-29,23:50:55,0,0,
kangnadia_,https://twitter.com/kangnadia_/status/1178456978135191552,감기기운 있><,2019-09-29,23:50:12,0,0,
ABN_FFXIV,https://twitter.com/ABN_FFXIV/status/1178456977254436864,아 진짜 목감기코감기 개짱나내ㅔ 근무하다 그냥 가라고 햇으면 좋겠다(킁,2019-09-29,23:50:12,0,1,
gkst_duckhu,https://twitter.com/gkst_duckhu/status/1178456945256087552,어제 현우님 감기걸린거 같다는 말이 있던데...,2019-09-29,23:50:05,0,2,
CoffeeOverRum,https://twitter.com/CoffeeOverRum/status/1178456453541089280,헠!!! 퍼플님 저도 구비해놨다가 담번에 써봐야겠어요. 이번에 저도 기침감기였어서 정말 힘들었거든요... 자다가도 뻘떡 쿨럭쿨럭!!!!콜록콜록!!!!! 어렸을때 할아버지방에서 갖고 놀던 생각이 나요 ㅎㅎㅎ 그속에 들어있는 스푼이 귀여워서 ^.^ 국자같이 #MPN #BTS #ARMY #BoyWithLuv @BTS_twt,2019-09-29,23:48:07,1,2,@BTS_twt
oOsg_love,https://twitter.com/oOsg_love/status/1178456368707063808,감기 넘 심하게 걸렸는데 진짜 주글거가타 시험도 일주일밖에 안남앗는데,2019-09-29,23:47:47,0,0,
cc206060,https://twitter.com/cc206060/status/1178456135235358720,감기걸렸는데 더워,2019-09-29,23:46:51,0,0,
icon_vanila,https://twitter.com/icon_vanila/status/1178456127119343618,아 목이 칼칼하니 감기 올 삘인데,2019-09-29,23:46:50,0,0,
su2fish_,https://twitter.com/su2fish_/status/1178456058911580161,진자 죄그맣다 팔짝 뛰어서 얇은 나무에 감기듯이 이동하는것도 봣어 귀여워,2019-09-29,23:46:33,0,0,
Melrose20131013,https://twitter.com/Melrose20131013/status/1178456005937651713,바로 씻었어여 감기조심!!,2019-09-29,23:46:21,0,1,
boypark_,https://twitter.com/boypark_/status/1178455955018661888,감기걸린거같어...... 개짱난다,2019-09-29,23:46:08,0,0,
im_fine126,https://twitter.com/im_fine126/status/1178455951612923904,대체 그 사람은 그래서 뭘까 여전히 모르겠는거임... 찬귢은 아직 민옄의 이름도 모르니까.. 그리고 그 날 찬귢은 보건실에서 쟀을 때 열이 그렇게 높았던 거랑은 다르게 다음 날 아침 열도 뚝 떨어지고 감기도 싹 나음..,2019-09-29,23:46:08,0,1,
leon0303_1,https://twitter.com/leon0303_1/status/1178455924765118464,와 감기 제대로 걸려써,2019-09-29,23:46:01,0,0,
rodella_bot,https://twitter.com/rodella_bot/status/1178455874181812224,(망토벗어준다) 감기걸리면 안돼~,2019-09-29,23:45:49,0,0,
sap_wedgewood,https://twitter.com/sap_wedgewood/status/1178455781328343040,감기걸렷나바... 목아파...,2019-09-29,23:45:27,0,0,
19KBlueMoon,https://twitter.com/19KBlueMoon/status/1178455767118045184,비 만땅 맞고 감기나 걸려서 이문덕의 혜택이나 받으시길,2019-09-29,23:45:24,0,1,
sssse_eee_,https://twitter.com/sssse_eee_/status/1178455701305167874,감기 걸리면 치료비 내줄 것 도 아님서!!! https://twitter.com/BDJI_0729/status/1178454811164889088 …,2019-09-29,23:45:08,0,0,
SPRD_HK,https://twitter.com/SPRD_HK/status/1178455671580217344,"가을이라 날이 찬가 봐요. 감기 조심하세요, 실장님. ^^ https://twitter.com/si1h0u3tt3_Cw/status/1178455091843457026 …pic.twitter.com/JfC84j6gOQ",2019-09-29,23:45:01,1,1,
Doon__ddoon61,https://twitter.com/Doon__ddoon61/status/1178455636469616640,우후 감기 감기,2019-09-29,23:44:53,0,0,
ICS2W,https://twitter.com/ICS2W/status/1178455457779736581,"ㅠㅡㅠ 주말동안 약먹구 잠만잤는데도 아직안나앗네요... 아주 지독한감기걸린거같아요 후니럽님도 감기조심하셔요,,!",2019-09-29,23:44:10,0,0,
ilhaeyaji,https://twitter.com/ilhaeyaji/status/1178455445314269184,와 약 먹자마자 감기가 나아버리네...ㅎ..ㅎㅎ...((울고잇슴,2019-09-29,23:44:07,0,0,
ruceru,https://twitter.com/ruceru/status/1178455399600541696,지금은 괜찮아지셨다니 다행이네요. 요즘 여기저기 감기걸리는 분들 많고ㅠ,2019-09-29,23:43:56,0,3,
from_gloss,https://twitter.com/from_gloss/status/1178455235011829760,;; 감기가 며칠 동안 안 낫고 있음,2019-09-29,23:43:17,0,0,
3NYpark,https://twitter.com/3NYpark/status/1178455186227920896,울 지룽이 언제 또 뽀작뽀작 다녀 간거야!!???? 얼마전에 100회였던 것 같은데..ㅠㅠ 잘 지내고 있는 거지? 월요일이라 그런가 울 요정님 보고싶네 감기 조심하고 밥길 잘 걷자 지룽아!! 많이많이 보고싶고 사랑해 pic.twitter.com/5SQM5vVrxl,2019-09-29,23:43:05,0,7,
006x204,https://twitter.com/006x204/status/1178454935404339200,헐ㅜㅠㅜ 오캐 빨리 따뜻한 건물 안으로 들어가ㅜㅠ ㅜ 감기걸릴라,2019-09-29,23:42:05,0,0,
dazaxchu,https://twitter.com/dazaxchu/status/1178454895764000769,오늘따라 안개가 많이 보이네욤. 사키님. 콧물이라닝 ㅠ 저런 감기 걸리신건가요? ㅠㅅㅠ,2019-09-29,23:41:56,0,0,
tottot_mp,https://twitter.com/tottot_mp/status/1178454889011134464,아빨리 감기 나아서 놀러다니고싶어ㅠㅜㅠ아엉어엉 엉ㅇ엥옹,2019-09-29,23:41:54,0,0,
LovelyBoy802,https://twitter.com/LovelyBoy802/status/1178454670764720130,우리님~~ 벌써 9월 마지막 날이에요! 감기 조심하시고 오늘 하루도 잘 보내시길 pic.twitter.com/B3yUG3WVRX,2019-09-29,23:41:02,0,1,
MeLong_03,https://twitter.com/MeLong_03/status/1178454655623262210,아니 윤아님ㅋㅋㅋㅋㅋㅋㅋㅋ 만쥬가 손에 착착 감기긴 하져ㅋㅋㅋㅋㅋ,2019-09-29,23:40:59,0,0,
happinessoom,https://twitter.com/happinessoom/status/1178454586979278848,겨울에 감기 걸려서 학교 못갔는데 울엄마 학교로 불러서 어머님 집에 보일러 안켜세요? 이지랄 하던 담임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 재수없었는데,2019-09-29,23:40:42,0,0,
gae_gool__,https://twitter.com/gae_gool__/status/1178454567039561728,생리터지고 감기걸리고,2019-09-29,23:40:38,0,3,
muz4u,https://twitter.com/muz4u/status/1178454520369573888,5일 존버의 끝은 결국 감기몸살이였다고.나도 아플땐 엄마가해주는 밥먹고싶다..주말이라 아픈데도 세끼를 내 새끼라서 다 차려줬다고..언제클까나..어여어여 크거라..,2019-09-29,23:40:26,0,1,
or_chemi_,https://twitter.com/or_chemi_/status/1178454498433306625,머리아파 감기때문인가 밤샌거때문인가,2019-09-29,23:40:21,0,0,
viyorr1,https://twitter.com/viyorr1/status/1178454472470626304,안돼... 저한테 조심하라고 해놓고 달링이 감기 걸리심 어쩝니까ㅜㅜ 어서 약을 드세요..!,2019-09-29,23:40:15,0,1,
COS_Cali,https://twitter.com/COS_Cali/status/1178454464648241152,ㅠㅠㅠㅠ 감기 맞는 거 같아요 흙흙... (형님 저희 반모했었어용!),2019-09-29,23:40:13,0,0,
yesgirl83,https://twitter.com/yesgirl83/status/1178454458432274432,[블로그 이벤트] 우리아이 가을철 감기예방 자연은 잘자란 배도라지 (출처 : W진이의 .. | http://blog.naver.com/wj_food/221659961269 … 블로그) http://naver.me/5VfWRhO4,2019-09-29,23:40:12,0,0,
Forever7_leader,https://twitter.com/Forever7_leader/status/1178454452920934400,잘잤어? 지금은 좀 쌀쌀해도 낮에는 더워진대. 이럴 때 감기에 더 많이 걸린다는 건 알고 있지? 감기 조심해!,2019-09-29,23:40:10,0,3,
10akam10,https://twitter.com/10akam10/status/1178454381579997185,고딩 상준 좋아... 준영이는 혼자 사는데 야밤에 준영이 독하게 감기 걸려서 앓고 있다는 거 알게 된 상윤이가 급하게 편의점 죽이라도 몇개 사들고 가서 준영이 집 문 두드리는 거 보고 싶다. 혼자 사는 데 제일 서러운 게 아픈 거라던데 상윤이가 잘 어르고 달래고 보듬어 줘야만,2019-09-29,23:39:53,0,1,
mimong0420,https://twitter.com/mimong0420/status/1178454360868577280,감기 또 걸렸어 살려줘,2019-09-29,23:39:48,0,2,
Kuro_Akastuki,https://twitter.com/Kuro_Akastuki/status/1178454354975580160,"좋은아침. 날씨가 많이 선선해졌더군. 뭐, 그래도 낮에는 같은 날이 맞는건가 싶을정도로 다시 더워지니까 말이지. 일교차가 꽤나 심한 것 같으니까, 감기 걸리지않게 조심하고. 월요일이니까, 새로운 주의 시작. 이란 느낌으로 조금만 기운내서 시작하자고 좋은 하루 보내고, 나중에 보자고",2019-09-29,23:39:47,0,2,
Nu_Tella__03,https://twitter.com/Nu_Tella__03/status/1178454195113873408,지금시험기간때마다감기걸리는데,2019-09-29,23:39:09,0,0,
bigarades,https://twitter.com/bigarades/status/1178454176843460608,이번 감기 되게 피곤하다 목에서 시작했다가 몸으로 갔다가 코로 갔다가 또 목으로 갔다가 근데 몸에선 또 땀이 나요,2019-09-29,23:39:05,0,0,
152S2179,https://twitter.com/152S2179/status/1178454060283727872,@SUES2SZ 안녕 좋은 아침! 주말엔 조금 더웠는데 오늘 아침은 쌀쌀하네 감기 걸릴 것 같아서 감기약 타서 마셨어 엘림스도 감기 조심해,2019-09-29,23:38:37,0,0,@SUES2SZ
Plant_Ugarden0,https://twitter.com/Plant_Ugarden0/status/1178453997788618752,틸님 저 감기나음 가치가욥,2019-09-29,23:38:22,0,1,
songrim_baek,https://twitter.com/songrim_baek/status/1178453887482597377,뺨이 차다. 감기 조심해.,2019-09-29,23:37:56,0,0,
Letterbee_Ran,https://twitter.com/Letterbee_Ran/status/1178453815684521984,잘하셨어요! 칭찬도장 콩콩! 아침 공기가 조오금 차가워요. 낮에는 또 더우니까 일교차 조심하세요! 방심하면 감기가 훅 다가와요.,2019-09-29,23:37:38,0,0,
TcHTdSr2dm8euw4,https://twitter.com/TcHTdSr2dm8euw4/status/1178453567553720321,가을감기 ㅠ pic.twitter.com/bfYM9S41Aw,2019-09-29,23:36:39,0,0,
sem_0210,https://twitter.com/sem_0210/status/1178453461588824064,ㄷ다녀왓습니다 선생님이 약두개주셧어 ㄱ기침조금에 콧물왕창 오한든다고햇더니 이번 감기특징이래 훌쩍,2019-09-29,23:36:14,0,1,
haejuuu96,https://twitter.com/haejuuu96/status/1178453266889228288,랑그레이 소류 까꿍님 큰일나셧내요 김욱도한테 감기면 답도 없는데 pic.twitter.com/AFFK8LKDQV,2019-09-29,23:35:28,1,0,
tango_nim,https://twitter.com/tango_nim/status/1178453207804076033,감기기운 있으면 은근슬쩍 운동 안 가려고 했는데 안타깝게도 건강한듯,2019-09-29,23:35:13,0,2,
DARIM_0,https://twitter.com/DARIM_0/status/1178453130838601728,진짜 늦더위 너무 심한 것 같아요. 근데 날씨가 너무 갑자기 뚝 떨어지면 감기 환자들이 많이 생기겠어요;;;,2019-09-29,23:34:55,0,1,
JHB0SSCH4,https://twitter.com/JHB0SSCH4/status/1178453098634731520,"창문은 꼭 확인하고 잤어야지, 바보야. 감기 걸리는 거 아니야? 조심해야 될 날씨라구, 요즘.",2019-09-29,23:34:47,0,0,
_LQVE__JK_,https://twitter.com/_LQVE__JK_/status/1178453065566846977,감기 안걸렸구나 ..,2019-09-29,23:34:40,0,1,
sdn4987,https://twitter.com/sdn4987/status/1178452901657600001,감기 안 걸리게 조심해요.,2019-09-29,23:34:01,0,0,
zepeto_anseek,https://twitter.com/zepeto_anseek/status/1178452660946472960,비염이랑 감기 둘다인것같어요 푹 지지고 잤더니 많이 좋아진것 같아요 감사합니다 원자님은 조은하루 보내시길,2019-09-29,23:33:03,0,1,
ardent_SH,https://twitter.com/ardent_SH/status/1178452580055175168,아... 완전 감기 같은데.... 오늘 잘 넘기면 금방 나을것도 가튼데ㅠ 비타민 좀 먹어야겟네....,2019-09-29,23:32:44,0,0,
Wa_Ni_23,https://twitter.com/Wa_Ni_23/status/1178452498396266496,감기 조심하셔요~! 일교차가 심해서 다들 아프시던데ㅠㅠ,2019-09-29,23:32:24,0,1,
RV_BKSPK,https://twitter.com/RV_BKSPK/status/1178452391890276352,환절기때 감기 안걸린적이 없는ㅋㅋㅋㅋㅋ,2019-09-29,23:31:59,0,0,
Yo_mybomi,https://twitter.com/Yo_mybomi/status/1178452314773831680,안녕 윤보미야♡ 그렇게 또 월요일이! ㅠㅠㅠ 다녀와서 푹 쉬었나요 오늘도 좋은 하루 보내고 감기조심 건강조심 사람조심 보고싶다 @apinkbm,2019-09-29,23:31:41,0,0,@apinkbm
charle_104,https://twitter.com/charle_104/status/1178452289326997505,오늘 29도까정 오른대서 자켓없이 그냥 블라우스만 입고나왔는데 춥네... 망했네... 감기오것어,2019-09-29,23:31:35,0,0,
allday_J_K,https://twitter.com/allday_J_K/status/1178452281873715201,감기기침개심해..,2019-09-29,23:31:33,0,0,
Ccherrysmothie,https://twitter.com/Ccherrysmothie/status/1178452207005401093,허흐극 감기기운 올라온다; 어쩔수 없이 내일 집에서 파판만 해아ㅓ겠네,2019-09-29,23:31:15,0,0,
caramel__lait,https://twitter.com/caramel__lait/status/1178452173874589696,아 감기왔다,2019-09-29,23:31:07,0,0,
treeofshark,https://twitter.com/treeofshark/status/1178452164147941376,감기걸린 아가와 주말보내고 회사가려고 나와서 혼자 있으니 또 살 것 같고. 근데 pms로 기운없고 자신감떨어지는게 이제 인지가 되고 약간의 대처도 된다.,2019-09-29,23:31:05,0,0,
back_061,https://twitter.com/back_061/status/1178452089959149568,님들 나 감기걸린것같애,2019-09-29,23:30:47,0,1,
kemiryun,https://twitter.com/kemiryun/status/1178452080446468096,감기조심하세요 사키님,2019-09-29,23:30:45,0,0,
BTS97820811,https://twitter.com/BTS97820811/status/1178452070694735873,헐 ㅠㅠ어떻해 한 쪽은 장갑이고 또 다른 한쪽은 ㄴ 맨손 ...우리 정국ㅇ아ㅏ ㅠㅠㅠ 이게 뭔일이니 ㅠㅠㅜㅜ 감기걸리먄 어떻하랴고 정국아ㅏ ㅠㅠㅠ,2019-09-29,23:30:42,0,1,
RV_BKSPK,https://twitter.com/RV_BKSPK/status/1178452015157874688,목아파 감기오나봐,2019-09-29,23:30:29,0,0,
TK_regret,https://twitter.com/TK_regret/status/1178451954361487360,미치겟네감기걸린거강다...,2019-09-29,23:30:15,0,0,
sl110s,https://twitter.com/sl110s/status/1178451841148801024,#살면서_아프거나_다쳐본_경험 골절: 중학교때1번 수술: 치질수술도 수술로ㅊㅣ는지(ㅈㄴ 쌍코피: X 독감: X 다래끼: 초딩때1번 장염: 습관성.. 깁스: 반깁스는자주한듯 화상: X 교통사고: X 결막염: X 식중독: 고딩때1번 위염: X 링거: 사고도다친것두아니고 나이먹고감기가안떨어져서첨맞아봄..,2019-09-29,23:29:48,0,1,
lmint_nm,https://twitter.com/lmint_nm/status/1178451683715629056,감기는 괜찮아? 병원 가서 증명서 떼가면 어떻게 한번 봐주시지는 않을려나.,2019-09-29,23:29:10,0,0,
piyo2o,https://twitter.com/piyo2o/status/1178451584809721856,여름님두 감기 조심 .'_'. .......,2019-09-29,23:28:47,0,0,
COS_Cali,https://twitter.com/COS_Cali/status/1178451535648321536,일단... 자자 감기기운 인 것 같으니까 오늘은 자체휴강~,2019-09-29,23:28:35,0,2,
M_danong,https://twitter.com/M_danong/status/1178451493722001409,음 ㅋㅋㅋㅋㅋ 나 왜 감기? ㅋㅋㅋ 몸살임 ㅋㅋ,2019-09-29,23:28:25,0,0,
PR_767,https://twitter.com/PR_767/status/1178451428408356864,감기만안걸리면돼근데우리반1명등교햇다는소식이잇다,2019-09-29,23:28:09,0,1,
b1a4_618,https://twitter.com/b1a4_618/status/1178451393637543936,@B1A4_CNU D-333 신우오빠 요즘 일교차가 커요 감기조심하고 건강챙겨요!!!,2019-09-29,23:28:01,0,0,@B1A4_CNU
Mong_Doong,https://twitter.com/Mong_Doong/status/1178451183117176835,감기약에 취해서 자버려서 오늘 밥 못 먹었네 지금 나가서 사먹고 와야겠다,2019-09-29,23:27:11,0,1,
yeoreum_xp,https://twitter.com/yeoreum_xp/status/1178451117841076224,여러분 감기조심...ㅇ(-(,2019-09-29,23:26:55,0,2,
Tupyohayo,https://twitter.com/Tupyohayo/status/1178450926178201602,퍼플님도 아프셨다는거 보고 우리 글로벌하게 감기 바이러스에 (๑•᎑< ๑) MPN Brazil #MPN #BoyWithLuv #BTS #ARMY @BTS_twt,2019-09-29,23:26:10,3,1,@BTS_twt
HHDspiner,https://twitter.com/HHDspiner/status/1178450739187703810,0521야 날 추우니 옷 따숩게 입고다녀. 찬바람에 감기들라.,2019-09-29,23:25:25,0,2,
repeat797,https://twitter.com/repeat797/status/1178450615447351298,TT 주말에 안보이셨는데 감기가 아직 낫지 않으셨었군요 이젠 괜찮으신가요,2019-09-29,23:24:55,0,1,
yeonwoosee,https://twitter.com/yeonwoosee/status/1178450574892650497,갑자기 쉬게 됐다. 밤새 오늘부터 다시 시작할 폭풍에 눌려 뒤척이고 몸이 욱신거렸다. 이미 몸살감기 걸리신 아줌마가 오늘 쉬자고 하셔서 흔쾌히 예쓰라 하고 오늘 무슨 생각을 하며 보낼지 고민중이다. 나에게 꼭 필요했던 시간을 보내야 불안한 하루가 되지 않겠지 싶다.,2019-09-29,23:24:46,0,2,
LaDan_22,https://twitter.com/LaDan_22/status/1178450496002019328,아녜요ㅋ ㅋㅋ 저긴 해당없어도 감기는 자주 걸리는데요ㅋㅋㅋㅋ,2019-09-29,23:24:27,0,0,
La_vi_rosien,https://twitter.com/La_vi_rosien/status/1178450431699124224,요즘 환절기라 다들 고생하시더라구요ㅠㅠ 감기가 아니시길... 몸 조심하세요 칼리님,2019-09-29,23:24:12,0,0,
HJ_han_yoon_,https://twitter.com/HJ_han_yoon_/status/1178450399604305920,예 감기인것 같은데 병원가자,2019-09-29,23:24:04,0,0,
blogersna,https://twitter.com/blogersna/status/1178450331996282881,헤헤. 언제나 반응해주시고 좋은말씀 해주셔서 너무 조아요! 감사해용~! 파죽아님두 감기 걸리지 마시구 시험공부 조금만 더 힘내주세용!,2019-09-29,23:23:48,0,0,
berry_owo_,https://twitter.com/berry_owo_/status/1178450236366176257,@hero_for_berry 기락씨 좋은 아침이에요... 저는 어제 감기기운이 있었는데 결국은 걸리고 말았어요...눈물나.. 시험인데.. ㅜㅜㅜ 학교 다녀올게요!,2019-09-29,23:23:25,0,1,@hero_for_berry
less_ness_,https://twitter.com/less_ness_/status/1178450218662035456,ㅋㅋㅋㅋㄱㄲㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋ 감기 걸려서 죽을 것 같은 날 살려...,2019-09-29,23:23:21,0,0,
child_AaSun,https://twitter.com/child_AaSun/status/1178450217315663872,감기걸렸나보다 목 아퍼ㅠ,2019-09-29,23:23:21,0,3,
prechal528,https://twitter.com/prechal528/status/1178450055457431552,디짛거같애여진심으로비염인가감기인가,2019-09-29,23:22:42,0,1,
b__ori,https://twitter.com/b__ori/status/1178450051749662720,아미친 감기걸렸어,2019-09-29,23:22:41,0,0,
_k0012,https://twitter.com/_k0012/status/1178449991330779136,피로+감기까지 그냥 숨이 아직 붙어있느니 살아있는거겠거니 하고 있는 월요일의 강제 기력주입송 pic.twitter.com/shuc6ycXIY,2019-09-29,23:22:27,0,0,
Smile_dw1122,https://twitter.com/Smile_dw1122/status/1178449900435992576,오늘까지.진심으로.많이.미안합니다.이번달엔.9월엔.소중한사람에게.미안함의 연속인것같습니다.지금의 시기는.시간이지나도.떠올라.미안함을 조각해서.조그맣게나마.전할수있었으면 좋겠습니다.소중한사람도.한달의 마지막.마무리 잘할수있었으면 좋겠고.날이 선선해진만큼.감기 감기지않게해주세요,2019-09-29,23:22:05,0,0,
Antoinette_7D,https://twitter.com/Antoinette_7D/status/1178449804457758720,이럴 때일수록 감기 걸리지 않게 조심해야지요.,2019-09-29,23:21:42,0,0,
IM_im_6,https://twitter.com/IM_im_6/status/1178449793267355648,코감기에 목감기까지 걸리니까 다 엎어버릴 수 있을거 같은 기분이 든다,2019-09-29,23:21:39,0,0,
